date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
29/04/2020,Jakarta Timur,JATINEGARA,CIPINANG CEMPEDAK,1,1,0,0,0,15,15
5/4/2020,Jakarta Timur,PASAR REBO,PEKAYON,1,1,0,0,0,30,30
13/04/2020,Jakarta Timur,PASAR REBO,KALISARI,1,1,0,0,0,15,15
6/4/2020,Jakarta Timur,CAKUNG,RAWA TERATE,1,1,0,0,0,,
6/4/2020,Jakarta Timur,MAKASAR,CIPINANG MELAYU,2,11,172,476,0,,
30/04/2020,Jakarta Timur,MAKASAR,MAKASAR,6,26,545,1380,0,10,10
30/04/2020,Jakarta Timur,MAKASAR,PINANG RANTI,1,4,0,0,0,,
6/4/2020,Jakarta Timur,DUREN SAWIT,DUREN SAWIT,1,1,0,0,0,,
12/4/2020,Jakarta Timur,CIPAYUNG,LUBANG BUAYA,1,1,0,0,0,,
30/04/2020,Jakarta Timur,CIPAYUNG,BAMBU APUS,1,1,0,0,0,20,20
18/04/2020,Jakarta Timur,KRAMAT JATI,CAWANG,5,12,0,0,0,,
19/04/2020,Jakarta Timur,KRAMAT JATI,CILILITAN,2,2,22,65,0,,
29/04/2020,Jakarta Timur,KRAMAT JATI,BATU AMPAR,4,6,0,0,0,,
30/04/2020,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,1,1,0,0,0,20,20
30/04/2020,Jakarta Timur,CIRACAS,CIRACAS,2,3,0,0,0,20,20
30/04/2020,Jakarta Timur,CIRACAS,RAMBUTAN,2,3,0,0,0,,
21/05/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1,1,0,0,0,20,30
8/5/2020,Jakarta Barat,KEMBANGAN,MERUYA UTARA,1,1,0,0,0,10,10
6/5/2020,Jakarta Selatan,JAGAKARSA,CIGANJUR,2,2,0,0,0,30,40
19/05/2020,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,2,8,25,77,0,20,100
19/05/2020,Jakarta Selatan,PANCORAN,PENGADEGAN,1,1,0,0,0,10,100
18/05/2020,Jakarta Selatan,PANCORAN,RAWAJATI,1,2,0,0,0,20,60
6/5/2020,Jakarta Selatan,PASAR MINGGU,JATI PADANG,1,3,0,0,0,20,50
10/5/2020,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,6,7,141,456,0,50,50
18/05/2020,Jakarta Selatan,TEBET,KEBON BARU,1,1,0,0,0,15,15
19/05/2020,Jakarta Selatan,TEBET,MANGGARAI,1,2,0,0,0,50,50
29/05/2020,Jakarta Timur,CIPAYUNG,CILANGKAP,2,3,0,0,0,50,50
6/5/2020,Jakarta Timur,CIRACAS,CIBUBUR,2,7,0,0,0,50,50
6/5/2020,Jakarta Timur,CIRACAS,CIRACAS,2,3,0,0,0,50,50
10/5/2020,Jakarta Timur,CIRACAS,RAMBUTAN,2,3,0,0,0,30,50
19/05/2020,Jakarta Timur,JATINEGARA,BIDARA CINA,2,9,333,1370,24,30,180
18/05/2020,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,5,27,392,1214,61,10,180
18/05/2020,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,1,3,0,0,128,40,100
10/5/2020,Jakarta Timur,KRAMAT JATI,BATU AMPAR,1,1,0,0,0,10,10
19/05/2020,Jakarta Timur,KRAMAT JATI,CAWANG,6,25,0,0,0,20,200
19/05/2020,Jakarta Timur,KRAMAT JATI,CILILITAN,3,6,0,0,0,20,200
10/5/2020,Jakarta Timur,KRAMAT JATI,TENGAH,1,1,0,0,0,20,20
19/05/2020,Jakarta Timur,MATRAMAN,KEBON MANGGIS,1,3,0,0,0,20,20
6/5/2020,Jakarta Timur,PASAR REBO,PEKAYON,2,1,0,0,0,10,100
3/6/2020,Jakarta Utara,PENJARINGAN,PLUIT,6,26,30,120,120,10,120
4/6/2020,Jakarta Utara,PENJARINGAN,PENJARINGAN,1,1,0,0,0,10,60
4/6/2020,Jakarta Utara,PENJARINGAN,PEJAGALAN,3,8,0,0,0,5,60
4/6/2020,Jakarta Utara,PENJARINGAN,KAPUK MUARA,1,3,0,0,0,5,10
3/6/2020,Jakarta Utara,CILINCING,MARUNDA,3,5,0,0,0,10,40
4/6/2020,Jakarta Utara,PADEMANGAN,ANCOL,1,1,50,200,200,30,50
3/6/2020,Jakarta Barat,CENGKARENG,KAPUK,6,11,0,0,0,5,30
3/6/2020,Jakarta Barat,KALIDERES,TEGAL ALUR,2,4,0,0,0,10,50
4/6/2020,Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR BARU,1,1,0,0,0,5,10
4/6/2020,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,1,1,0,0,0,40,40
3/6/2020,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU PARI,4,4,0,0,0,10,50
3/6/2020,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,3,3,0,0,0,10,45
4/6/2020,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,2,2,0,0,0,30,50
3/6/2020,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,5,18,0,0,0,10,40
3/6/2020,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU KELAPA,4,4,0,0,0,10,45
3/6/2020,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,3,5,0,0,0,5,20
2/7/2020,Jakarta Barat,TAMAN SARI,PINANGSIA,1,1,0,0,0,20,20
14/07/2020,Jakarta Barat,KEMBANGAN,SRENGSENG,3,4,0,0,0,30,50
25/08/2020,Jakarta Urata,CILINCING,MARUNDA,1,9,0,0,0,10,30
13/08/2020,Jakarta Barat,KALIDERES,TEGAL ALUR,1,2,0,0,0,15,15
13/08/2020,Jakarta Barat,CENGKARENG,KAPUK,7,9,0,0,0,15,20
18/08/2020,Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,2,2,0,0,0,10,30
13/08/2020,Jakarta Selatan,TEBET,KEBON BARU,1,9,0,0,0,20,30
13/08/2020,Jakarta Selatan,TEBET,BUKIT DURI,1,1,0,0,0,30,30
13/08/2020,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,2,0,0,0,20,20
13/08/2020,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,2,3,0,0,0,20,80
13/08/2020,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,1,2,0,0,0,20,60
13/08/2020,Jakarta Pusat,SENEN,PASEBAN,1,1,0,0,0,20,20
18/08/2020,Jakarta Pusat,TANAH ABANG,PETAMBURAN,1,1,0,0,0,10,15
21/09/2020,Jakarta Pusat,TANAH ABANG,PETAMBURAN,1,1,0,0,0,20,20
22/09/2020,Jakarta Utara,PENJARINGAN,PLUIT,2,2,0,0,0,,
15/09/2020,Jakarta Barat,KALIDERES,KALIDERES,1,1,0,0,0,10,10
15/09/2020,Jakarta Barat,CENGKARENG,KAPUK,8,10,0,0,0,,
21/09/2020,Jakarta Barat,CENGKARENG,RAWA BUAYA,3,4,0,0,0,,
22/09/2020,Jakarta Barat,CENGKARENG,CENGKARENG BARAT,5,6,0,0,0,,
16/09/2020,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1,1,0,0,0,35,35
21/09/2020,Jakarta Barat,KEBON JERUK,SUKABUMI UTARA,7,7,0,0,0,,
21/09/2020,Jakarta Barat,KEBON JERUK,DURI KEPA,4,6,0,0,0,,
22/09/2020,Jakarta Barat,KEBON JERUK,SUKABUMI SELATAN,2,3,0,0,0,,
21/09/2020,Jakarta Barat,PALMERAH,PALMERAH,1,1,0,0,0,30,30
21/09/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,1,1,5,15,15,60,60
21/09/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1,1,0,0,0,45,45
21/09/2020,Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1,1,0,0,0,20,20
22/09/2020,Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR,1,5,0,0,0,25,25
22/09/2020,Jakarta Barat,TAMBORA,KRENDANG,1,2,0,0,0,30,30
15/09/2020,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,1,2,0,0,0,100,100
22/09/2020,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,3,4,0,0,0,30,30
15/09/2020,Jakarta Selatan,CILANDAK,PONDOK LABU,1,1,0,0,0,,
15/09/2020,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,1,2,0,0,0,,
22/09/2020,Jakarta Selatan,PANCORAN,PENGADEGAN,1,1,6,23,23,40,40
22/09/2020,Jakarta Selatan,PANCORAN,RAWAJATI,2,5,19,66,66,,
22/09/2020,Jakarta Selatan,TEBET,KEBON BARU,1,1,0,0,0,30,30
22/09/2020,Jakarta Timur,KRAMAT JATI,CAWANG,5,13,37,110,0,,
22/09/2020,Jakarta Timur,KRAMAT JATI,CILILITAN,2,5,58,158,0,,
22/09/2020,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,2,2,0,0,0,,
22/09/2020,Jakarta Timur,JATINEGARA,BIDARA CINA,2,6,41,121,0,,
22/09/2020,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,4,18,248,807,0,,
7/12/2019,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,1,1,0,0,0,20,20
31/12/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,1,1,0,0,0,25,25
31/12/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,0,1,0,0,0,30,30
31/12/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,0,1,0,0,0,30,30
6/12/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,25,70,0,40,40
6/12/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,20,80,0,10,10
6/12/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,0,0,0,30,30
6/12/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,30,90,0,30,30
6/12/2019,Jakarta Timur,PASAR REBO,GEDONG,1,1,0,0,0,15,15
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,17,51,0,10,80
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,19,66,0,10,80
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,39,118,0,10,80
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,25,80,0,10,80
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,12,48,0,10,30
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,7,23,0,10,40
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,8,28,0,10,40
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,9,31,0,10,40
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,15,53,0,10,50
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,7,21,0,10,30
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,6,19,0,10,30
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,12,36,0,10,50
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,3,12,0,10,25
7/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,7,22,0,10,40
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,14,46,0,10,50
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,16,54,0,10,50
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,17,58,0,10,50
6/12/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,15,51,0,10,50
6/12/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,1,1,0,0,0,10,60
6/12/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,10,60
6/12/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,10,60
6/12/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,1,1,0,0,0,10,60
6/12/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,10,60
6/12/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,10,60
6/12/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,10,60
6/12/2019,Jakarta Timur,KRAMAT JATI,CILILITAN,1,1,2,10,0,20,20
6/12/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,0,0,0,60,60
6/12/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,0,0,0,60,60
6/12/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,0,0,0,60,60
6/12/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,0,0,0,15,15
6/12/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,0,0,0,15,15
15/12/2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,1,1,0,0,0,5,20
15/12/2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0,1,0,0,0,5,10
15/12/2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0,1,0,0,0,10,15
15/12/2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0,1,0,0,0,5,20
15/12/2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0,1,0,0,0,15,15
15/12/2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,1,1,0,0,0,5,5
15/12/2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0,1,0,0,0,5,20
16/10/2019,Jakarta Pusat,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1,1,0,0,0,15,15
16/10/2019,Jakarta Pusat,JOHAR BARU,JOHAR BARU,1,1,0,0,0,20,20
16/10/2019,Jakarta Utara,TANJUNG PRIOK,KEBON BAWANG,1,1,0,0,0,30,30
16/10/2019,Jakarta Utara,TANJUNG PRIOK,KEBON BAWANG,0,1,0,0,0,30,30
20/10/2019,Jakarta Utara,CILINCING,ROROTAN,1,1,0,0,0,15,15
26/10/2019,Jakarta Utara,KOJA,RAWA BADAK SELATAN,1,1,0,0,0,10,60
26/10/2019,Jakarta Utara,KOJA,RAWA BADAK SELATAN,1,1,0,0,0,10,80
26/10/2019,Jakarta Utara,KOJA,RAWA BADAK SELATAN,1,1,0,0,0,10,80
26/10/2019,Jakarta Utara,KOJA,RAWA BADAK SELATAN,1,1,0,0,0,10,80
26/10/2019,Jakarta Utara,KOJA,RAWA BADAK SELATAN,1,1,0,0,0,10,80
16/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1,1,0,0,0,20,20
16/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,20,20
11/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,15,15
16/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1,1,0,0,0,25,25
5/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1,1,0,0,0,10,30
5/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,20,70
11/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,60,60
5/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,10,100
5/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,10,60
11/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,60,60
11/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,100,100
11/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,0,1,0,0,0,70,70
11/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1,1,0,0,0,10,10
11/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1,1,0,0,0,50,50
10/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,1,1,0,0,0,20,20
10/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,0,1,0,0,0,20,20
9/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,0,1,0,0,0,10,60
9/10/2019,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,0,1,0,0,0,10,60
10/10/2019,Jakarta Barat,KEBON JERUK,SUKABUMI SELATAN,1,1,0,0,0,30,30
16/10/2019,Jakarta Barat,KEBON JERUK,SUKABUMI UTARA,1,1,0,0,0,20,20
16/10/2019,Jakarta Barat,KEBON JERUK,SUKABUMI UTARA,1,1,0,0,0,50,50
16/10/2019,Jakarta Barat,KEBON JERUK,SUKABUMI UTARA,0,1,0,0,0,40,100
16/10/2019,Jakarta Barat,KEBON JERUK,KEBON JERUK,1,1,0,0,0,30,30
16/10/2019,Jakarta Barat,KEBON JERUK,KEBON JERUK,1,1,0,0,0,30,30
16/10/2019,Jakarta Barat,KEBON JERUK,KEBON JERUK,1,1,0,0,0,50,50
16/10/2019,Jakarta Barat,KEBON JERUK,DURI KEPA,1,1,0,0,0,40,40
16/10/2019,Jakarta Barat,KEBON JERUK,DURI KEPA,1,1,0,0,0,30,30
16/10/2019,Jakarta Barat,KEBON JERUK,DURI KEPA,0,1,0,0,0,30,30
16/10/2019,Jakarta Barat,KEBON JERUK,DURI KEPA,0,1,0,0,0,30,30
16/10/2019,Jakarta Barat,KEBON JERUK,DURI KEPA,1,1,0,0,0,80,100
16/10/2019,Jakarta Barat,PALMERAH,PALMERAH,1,1,0,0,0,20,20
16/10/2019,Jakarta Barat,PALMERAH,PALMERAH,1,1,0,0,0,40,40
16/10/2019,Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR,1,1,0,0,0,10,15
16/10/2019,Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1,1,0,0,0,10,10
16/10/2019,Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1,1,0,0,0,20,30
9/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,1,1,0,0,0,10,30
11/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1,1,0,0,0,50,50
11/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1,1,0,0,0,15,15
25/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,0,1,0,0,0,15,15
11/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1,1,0,0,0,50,50
11/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1,1,0,0,0,90,90
11/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,0,1,0,0,0,90,90
11/10/2019,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,0,1,0,0,0,90,90
16/10/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,1,1,0,0,0,50,50
16/10/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,1,1,0,0,0,20,20
16/10/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,1,1,0,0,0,40,40
16/10/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,1,1,0,0,0,50,50
11/10/2019,Jakarta Barat,KEMBANGAN,SRENGSENG,1,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,1,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,0,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,0,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,DURI KOSAMBI,1,1,0,0,0,30,30
10/10/2019,Jakarta Barat,CENGKARENG,DURI KOSAMBI,0,1,0,0,0,30,30
10/10/2019,Jakarta Barat,CENGKARENG,DURI KOSAMBI,0,1,0,0,0,25,25
10/10/2019,Jakarta Barat,CENGKARENG,DURI KOSAMBI,1,1,0,0,0,15,15
10/10/2019,Jakarta Barat,CENGKARENG,DURI KOSAMBI,0,1,0,0,0,25,25
10/10/2019,Jakarta Barat,CENGKARENG,RAWA BUAYA,1,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,RAWA BUAYA,0,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,RAWA BUAYA,0,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,RAWA BUAYA,1,1,0,0,0,25,25
10/10/2019,Jakarta Barat,CENGKARENG,RAWA BUAYA,1,1,0,0,0,20,20
10/10/2019,Jakarta Barat,CENGKARENG,RAWA BUAYA,0,1,0,0,0,10,10
10/10/2019,Jakarta Barat,CENGKARENG,RAWA BUAYA,1,1,0,0,0,15,15
10/10/2019,Jakarta Barat,KALIDERES,PEGADUNGAN,1,1,0,0,0,10,10
10/10/2019,Jakarta Barat,KALIDERES,PEGADUNGAN,0,1,0,0,0,10,10
10/10/2019,Jakarta Barat,KALIDERES,PEGADUNGAN,1,1,0,0,0,10,10
10/10/2019,Jakarta Barat,KALIDERES,PEGADUNGAN,0,1,0,0,0,10,10
10/10/2019,Jakarta Barat,KALIDERES,PEGADUNGAN,1,1,0,0,0,5,5
10/10/2019,Jakarta Barat,KALIDERES,PEGADUNGAN,0,1,0,0,0,5,5
4/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,1,1,0,0,0,10,10
16/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,0,1,0,0,0,20,20
27/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,1,1,0,0,0,50,50
4/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,0,1,0,0,0,25,25
4/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,1,1,0,0,0,50,50
2/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,0,1,0,0,0,10,35
4/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,TEGAL PARANG,1,1,0,0,0,10,10
4/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,TEGAL PARANG,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,1,1,0,0,0,50,50
5/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,1,1,0,0,0,30,30
5/10/2019,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,1,1,0,0,0,30,30
2/10/2019,Jakarta Selatan,PANCORAN,KALIBATA,1,1,0,0,0,30,30
25/10/2019,Jakarta Selatan,PANCORAN,RAWAJATI,1,1,0,0,0,10,10
25/10/2019,Jakarta Selatan,PANCORAN,RAWAJATI,0,1,0,0,0,10,10
25/10/2019,Jakarta Selatan,PANCORAN,RAWAJATI,1,1,0,0,0,10,10
25/10/2019,Jakarta Selatan,PANCORAN,RAWAJATI,0,1,0,0,0,10,10
25/10/2019,Jakarta Selatan,PANCORAN,RAWAJATI,0,1,0,0,0,10,10
25/10/2019,Jakarta Selatan,PANCORAN,PENGADEGAN,1,1,0,0,0,10,10
2/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN BARAT,1,1,0,0,0,20,20
2/10/2019,Jakarta Selatan,PASAR MINGGU,RAGUNAN,1,1,0,0,0,20,20
4/10/2019,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,1,1,0,0,0,10,10
4/10/2019,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,1,1,0,0,0,20,20
4/10/2019,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,0,1,0,0,0,20,20
5/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,0,0,0,10,10
