date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
5/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,0,1,0,0,0,10,10
25/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,0,0,0,10,10
25/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,1,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,0,1,0,0,0,20,20
5/10/2019,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,0,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,PASAR MINGGU,KEBAGUSAN,1,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,PASAR MINGGU,JATI PADANG,1,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,PASAR MINGGU,JATI PADANG,1,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,PASAR MINGGU,JATI PADANG,0,1,0,0,0,10,10
10/10/2019,Jakarta Selatan,PASAR MINGGU,JATI PADANG,0,1,0,0,0,10,10
10/10/2019,Jakarta Selatan,PASAR MINGGU,JATI PADANG,0,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,JAGAKARSA,CIGANJUR,1,1,300,1200,0,120,120
10/10/2019,Jakarta Selatan,JAGAKARSA,CIGANJUR,0,1,0,0,0,120,120
4/10/2019,Jakarta Selatan,JAGAKARSA,CIGANJUR,1,1,0,0,0,10,10
4/10/2019,Jakarta Selatan,JAGAKARSA,CIPEDAK,1,1,0,0,0,50,50
4/10/2019,Jakarta Selatan,JAGAKARSA,CIPEDAK,0,1,0,0,0,40,40
4/10/2019,Jakarta Selatan,JAGAKARSA,CIPEDAK,1,1,0,0,0,30,30
4/10/2019,Jakarta Selatan,JAGAKARSA,CIPEDAK,0,1,0,0,0,40,40
5/10/2019,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,1,1,0,0,0,30,30
16/10/2019,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,0,1,0,0,0,30,30
5/10/2019,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,1,1,0,0,0,50,50
25/10/2019,Jakarta Selatan,TEBET,KEBON BARU,1,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,TEBET,KEBON BARU,0,1,0,0,0,30,30
5/10/2019,Jakarta Selatan,TEBET,MANGGARAI,1,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,TEBET,MANGGARAI,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,TEBET,MANGGARAI,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,TEBET,MANGGARAI,0,1,0,0,0,30,30
25/10/2019,Jakarta Selatan,TEBET,MANGGARAI,1,1,0,0,0,10,10
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,50,50
4/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,30,50
25/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,10,30
9/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,10,50
5/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,10,50
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,50,60
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,50,60
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,50,60
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,30,50
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,30,50
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,30,50
10/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,50,60
5/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,40,40
5/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,BINTARO,1,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,1,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,1,1,0,0,0,20,20
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,1,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,0,1,0,0,0,10,10
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,1,1,0,0,0,20,20
11/10/2019,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,1,1,0,0,0,20,20
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,1,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,1,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,1,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,0,1,0,0,0,10,10
18/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1,1,0,0,0,50,50
18/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1,1,0,0,0,10,10
18/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,1,0,0,0,10,10
18/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,1,0,0,0,20,20
18/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1,1,0,0,0,40,40
18/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1,1,0,0,0,10,10
18/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,1,0,0,0,40,40
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1,1,0,0,0,10,10
5/10/2019,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,0,1,45,225,0,10,10
16/10/2019,Jakarta Selatan,KEBAYORAN LAMA,GROGOL UTARA,1,1,0,0,0,20,20
16/10/2019,Jakarta Selatan,KEBAYORAN LAMA,0,1,1,0,0,0,40,40
10/10/2019,Jakarta Selatan,CILANDAK,PONDOK LABU,1,1,0,0,0,30,30
10/10/2019,Jakarta Selatan,CILANDAK,PONDOK LABU,1,1,0,0,0,80,100
10/10/2019,Jakarta Selatan,CILANDAK,LEBAK BULUS,1,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,CILANDAK,LEBAK BULUS,1,1,0,0,0,20,20
10/10/2019,Jakarta Selatan,CILANDAK,LEBAK BULUS,1,1,0,0,0,20,20
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,1,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
25/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,0,0,0,20,70
5/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,1,1,5,20,0,10,100
5/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,8,28,0,10,100
5/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,9,24,0,10,100
5/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,9,31,0,10,100
5/10/2019,Jakarta Timur,JATINEGARA,BIDARA CINA,0,1,7,23,0,10,100
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,17,51,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,19,66,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,5,16,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,39,118,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,25,80,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,6,18,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,12,48,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,7,23,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,8,28,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,9,31,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,15,53,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,10,33,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,9,28,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,6,27,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,9,27,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,12,38,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,8,21,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,1,1,9,28,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,5,15,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,12,36,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,6,21,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,9,31,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,7,22,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,14,46,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,16,54,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,17,58,0,10,10
5/10/2019,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,1,15,51,0,10,10
26/10/2019,Jakarta Timur,JATINEGARA,CIPINANG MUARA,1,1,0,0,0,10,10
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,2,7,0,20,50
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,3,9,0,20,70
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,7,28,0,20,50
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,7,24,0,20,50
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,5,20,0,20,70
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,7,21,0,40,120
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,5,24,0,40,100
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,4,16,0,50,110
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,15,45,0,60,120
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,6,24,0,20,120
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,7,21,0,20,70
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,8,24,0,20,120
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,7,22,0,20,120
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,3,12,0,20,80
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,12,38,0,20,120
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,5,21,0,20,50
25/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,5,16,0,20,20
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,5,17,0,20,70
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,10,30,0,20,120
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,6,18,0,20,70
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,5,13,0,20,100
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,3,7,0,20,100
25/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,0,0,0,20,20
5/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,1,1,2,5,0,20,30
25/10/2019,Jakarta Timur,KRAMAT JATI,CAWANG,0,1,0,0,0,20,30
25/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,1,1,0,0,0,20,20
25/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,1,0,0,0,20,20
25/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,1,1,0,0,0,20,20
25/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,1,1,0,0,0,20,20
25/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,1,0,0,0,20,20
25/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,1,0,0,0,20,20
5/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,1,14,41,0,50,50
5/10/2019,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,0,1,3,10,0,50,50
10/10/2019,Jakarta Timur,KRAMAT JATI,DUKUH,1,1,0,0,0,50,50
25/10/2019,Jakarta Timur,KRAMAT JATI,CILILITAN,1,1,31,70,0,10,10
25/10/2019,Jakarta Timur,KRAMAT JATI,CILILITAN,0,1,12,46,0,10,10
25/10/2019,Jakarta Timur,KRAMAT JATI,CILILITAN,0,1,24,59,0,10,10
25/10/2019,Jakarta Timur,KRAMAT JATI,CILILITAN,1,1,30,70,0,10,10
25/10/2019,Jakarta Timur,KRAMAT JATI,CILILITAN,1,1,16,40,0,10,10
10/10/2019,Jakarta Timur,PASAR REBO,KALISARI,1,1,0,0,0,10,10
10/10/2019,Jakarta Timur,PASAR REBO,KALISARI,1,1,0,0,0,10,10
10/10/2019,Jakarta Timur,PASAR REBO,KALISARI,1,1,0,0,0,40,40
10/10/2019,Jakarta Timur,PASAR REBO,CIJANTUNG,1,1,0,0,0,35,35
10/10/2019,Jakarta Timur,PASAR REBO,CIJANTUNG,0,1,0,0,0,40,40
26/10/2019,Jakarta Timur,PASAR REBO,PEKAYON,1,1,0,0,0,30,30
26/10/2019,Jakarta Timur,PASAR REBO,PEKAYON,0,1,0,0,0,30,30
26/10/2019,Jakarta Timur,PASAR REBO,PEKAYON,0,1,0,0,0,50,50
25/10/2019,Jakarta Timur,CIRACAS,SUSUKAN,1,1,0,0,0,15,15
25/10/2019,Jakarta Timur,CIRACAS,SUSUKAN,0,1,0,0,0,15,15
25/10/2019,Jakarta Timur,CIRACAS,SUSUKAN,0,1,0,0,0,15,15
25/10/2019,Jakarta Timur,CIRACAS,SUSUKAN,0,1,0,0,0,15,15
10/10/2019,Jakarta Timur,CIRACAS,SUSUKAN,1,1,0,0,0,40,40
10/10/2019,Jakarta Timur,CIRACAS,SUSUKAN,1,1,0,0,0,20,20
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,1,1,0,0,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,0,1,0,0,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,0,1,0,0,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,0,1,0,0,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,0,1,0,0,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,1,1,0,0,0,20,20
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,0,1,0,0,0,20,20
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,1,1,0,0,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,CIRACAS,0,1,0,0,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,1,1,128,413,0,10,60
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,77,385,0,10,50
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,1,1,23,86,0,40,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,45,225,0,10,50
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,35,120,0,10,70
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,35,120,0,10,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,1,1,25,90,0,40,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,50,150,0,60,60
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,50,150,0,50,50
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,60,178,0,40,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,1,1,98,117,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,38,162,0,70,70
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,7,30,0,40,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,1,1,12,35,0,40,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,65,150,0,40,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,60,120,0,20,50
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,80,160,0,20,40
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,56,97,0,15,30
10/10/2019,Jakarta Timur,CIRACAS,RAMBUTAN,0,1,11,45,0,15,40
10/10/2019,Jakarta Timur,CIPAYUNG,BAMBU APUS,1,1,0,0,0,60,60
10/10/2019,Jakarta Timur,CIPAYUNG,BAMBU APUS,1,1,0,0,0,100,100
10/10/2019,Jakarta Timur,CIPAYUNG,CIPAYUNG,1,1,0,0,0,30,30
10/10/2019,Jakarta Timur,CIPAYUNG,SETU,1,1,0,0,0,30,30
10/10/2019,Jakarta Timur,CIPAYUNG,SETU,1,1,0,0,0,50,50
10/10/2019,Jakarta Timur,CIPAYUNG,SETU,0,1,0,0,0,50,50
19/10/2019,Jakarta Timur,CIPAYUNG,LUBANG BUAYA,1,1,0,0,0,40,40
10/10/2019,Jakarta Timur,MAKASAR,CIPINANG MELAYU,1,1,0,0,0,10,10
10/10/2019,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,1,0,0,0,10,10
10/10/2019,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,1,0,0,0,10,10
27/10/2019,Jakarta Timur,MAKASAR,CIPINANG MELAYU,1,1,0,0,0,10,30
27/10/2019,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,1,0,0,0,10,30
10/10/2019,Jakarta Timur,MAKASAR,CIPINANG MELAYU,0,1,0,0,0,10,10
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,1,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,1,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,1,1,0,0,0,20,20
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,0,1,0,0,0,20,20
11/10/2019,Jakarta Timur,MAKASAR,MAKASAR,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,PINANG RANTI,1,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,1,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,10,10
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,20,20
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,40,40
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,10,10
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,40,40
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,1,1,0,0,0,80,80
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,1,1,0,0,0,80,80
19/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,1,1,0,0,0,10,10
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,80,80
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,1,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,80,80
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,30,30
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,1,1,0,0,0,50,50
11/10/2019,Jakarta Timur,MAKASAR,KEBON PALA,0,1,0,0,0,50,50
16/10/2019,Jakarta Timur,PULO GADUNG,PULO GADUNG,1,1,0,0,0,30,30
20/10/2019,Jakarta Timur,CAKUNG,PENGGILINGAN,1,1,0,0,0,10,10
20/10/2019,Jakarta Timur,CAKUNG,PULO GEBANG,1,1,0,0,0,15,15
20/10/2019,Jakarta Timur,CAKUNG,JATINEGARA,1,1,0,0,0,15,15
20/10/2019,Jakarta Timur,CAKUNG,CAKUNG BARAT,1,1,0,0,0,20,20
20/10/2019,Jakarta Timur,DUREN SAWIT,DUREN SAWIT,1,1,0,0,0,15,15
